ticker,company_name,total_trades,return_pct
000660,SK하이닉스,3,12.828000000000001
005380,현대차,4,12.315
005490,POSCO홀딩스,2,-30.845
005930,삼성전자,3,-9.452
005935,삼성전자우,2,-25.358999999999998
006400,삼성SDI,3,-34.80486
012330,현대모비스,4,1.73
015760,한국전력,4,12.406
028260,삼성물산,4,2.315
035420,NAVER,2,-12.317
035720,카카오,2,-19.966
039030,이오테크닉스,4,14.841999999999999
051910,LG화학,4,-37.5
055550,신한지주,3,11.0985
058470,리노공업,2,-9.06207
066570,LG전자,4,-5.186
068270,셀트리온,3,21.22032
068760,셀트리온제약,4,3.3160299999999996
095340,ISC,3,13.633999999999999
096770,SK이노베이션,3,-0.149
105560,KB금융,5,74.152
112040,위메이드,3,-20.465
196170,알테오젠,3,44.949
207940,삼성바이오로직스,3,4.3999999999999995
247540,에코프로비엠,3,-42.495
322000,HD현대에너지솔루션,2,-30.489
403870,HPSP,4,-7.917000000000001
